generation,best_penalty,average_penalty
738,46.0,72.0
739,46.0,81.0
740,46.0,78.0
741,46.0,78.0
742,46.0,81.0
743,46.0,82.0
744,46.0,90.0
745,46.0,81.0
746,46.0,84.0
747,46.0,81.0
748,46.0,74.0
749,46.0,80.0
750,46.0,84.0
751,46.0,102.0
752,46.0,96.0
753,46.0,79.0
754,46.0,102.0
755,46.0,71.0
756,46.0,78.0
757,46.0,86.0
758,46.0,105.0
759,46.0,101.0
760,46.0,72.0
761,46.0,82.0
762,46.0,74.0
763,46.0,71.0
764,46.0,83.0
765,46.0,91.0
766,46.0,108.0
767,46.0,79.0
768,46.0,80.0
769,46.0,71.0
770,46.0,67.0
771,46.0,81.0
772,46.0,94.0
773,46.0,78.0
774,46.0,85.0
775,46.0,79.0
776,46.0,95.0
777,46.0,79.0
778,46.0,80.0
779,46.0,88.0
780,46.0,89.0
781,46.0,75.0
782,46.0,78.0
783,46.0,74.0
784,46.0,95.0
785,46.0,83.0
786,46.0,73.0
787,46.0,71.0
788,46.0,65.0
789,46.0,74.0
790,46.0,69.0
791,46.0,63.0
792,46.0,85.0
793,46.0,74.0
794,46.0,72.0
795,46.0,78.0
796,46.0,81.0
797,46.0,82.0
798,46.0,83.0
799,46.0,69.0
800,46.0,82.0
801,46.0,93.0
802,46.0,75.0
803,46.0,79.0
804,46.0,82.0
805,46.0,81.0
806,46.0,85.0
807,46.0,87.0
808,46.0,77.0
809,46.0,80.0
810,46.0,80.0
811,46.0,73.0
812,46.0,59.0
813,46.0,60.0
814,46.0,58.0
815,46.0,72.0
816,46.0,83.0
817,46.0,94.0
818,46.0,83.0
819,46.0,99.0
820,46.0,89.0
821,46.0,88.0
822,46.0,96.0
823,46.0,87.0
824,46.0,96.0
825,46.0,85.0
826,46.0,82.0
827,46.0,106.0
828,46.0,93.0
829,46.0,74.0
830,46.0,70.0
831,46.0,89.0
832,46.0,110.0
833,46.0,96.0
834,46.0,89.0
835,46.0,92.0
836,46.0,91.0
837,46.0,72.0
838,46.0,84.0
839,46.0,92.0
840,46.0,90.0
841,46.0,102.0
842,46.0,90.0
843,46.0,86.0
844,46.0,87.0
845,46.0,74.0
846,46.0,80.0
847,46.0,75.0
848,46.0,82.0
849,46.0,83.0
850,46.0,74.0
851,46.0,77.0
852,46.0,79.0
853,46.0,75.0
854,46.0,64.0
855,46.0,80.0
856,46.0,80.0
857,46.0,87.0
858,46.0,84.0
859,46.0,68.0
860,46.0,62.0
861,46.0,74.0
862,46.0,75.0
863,46.0,87.0
864,46.0,89.0
865,46.0,83.0
866,46.0,81.0
867,46.0,92.0
868,46.0,75.0
869,46.0,72.0
870,46.0,84.0
871,46.0,86.0
872,46.0,76.0
873,46.0,80.0
874,46.0,100.0
875,46.0,72.0
876,46.0,72.0
877,46.0,70.0
878,46.0,69.0
879,46.0,88.0
880,46.0,83.0
881,46.0,84.0
882,46.0,72.0
883,46.0,79.0
884,46.0,65.0
885,46.0,96.0
886,46.0,93.0
887,46.0,83.0
888,46.0,82.0
889,46.0,78.0
890,46.0,89.0
891,46.0,82.0
892,46.0,84.0
893,46.0,77.0
894,46.0,72.0
895,46.0,67.0
896,46.0,72.0
897,46.0,103.0
898,46.0,93.0
899,46.0,75.0
900,46.0,73.0
901,46.0,61.0
902,46.0,69.0
903,46.0,82.0
904,46.0,83.0
905,46.0,86.0
906,46.0,78.0
907,46.0,95.0
908,46.0,82.0
909,46.0,83.0
910,46.0,87.0
911,46.0,84.0
912,46.0,83.0
913,46.0,80.0
914,46.0,77.0
915,46.0,66.0
916,46.0,71.0
917,46.0,84.0
918,46.0,67.0
919,46.0,77.0
920,46.0,78.0
921,46.0,63.0
922,46.0,69.0
923,46.0,91.0
924,46.0,78.0
925,46.0,74.0
926,46.0,90.0
927,46.0,74.0
928,46.0,77.0
929,46.0,88.0
930,46.0,80.0
931,46.0,86.0
932,46.0,88.0
933,46.0,78.0
934,46.0,63.0
935,46.0,83.0
936,46.0,78.0
937,46.0,80.0
938,46.0,74.0
939,46.0,96.0
940,46.0,74.0
941,46.0,67.0
942,46.0,75.0
943,46.0,73.0
944,46.0,77.0
945,46.0,87.0
946,46.0,70.0
947,46.0,79.0
948,46.0,77.0
949,46.0,82.0
